"admin2Pcod","mesas_informadas","mesas_instaladas","personas_habilitadas","votos_validos","votos_no_marcados","votos_nulos","votos_si","votos_no"
"CO66440",39,39,15561,5417,88,97,2067,3350
"CO66456",27,27,11096,3642,58,65,1926,1716
"CO66572",23,23,9245,2728,76,47,1720,1008
"CO66594",47,47,19821,7878,184,259,4144,3734
"CO66682",127,127,59393,24796,184,518,9970,14826
"CO66687",31,31,12258,3586,70,119,1473,2113
"CO88001",108,108,47881,9588,52,36,5275,4313
"CO68001",1154,1154,495063,223128,457,1982,100143,122985
"CO68013",4,4,1524,347,8,6,165,182
"CO68020",10,10,3290,1164,21,15,656,508
"CO68051",15,15,6477,2579,50,51,1328,1251
"CO68077",58,58,24199,8965,64,162,4413,4552
"CO68079",15,15,6261,2537,20,51,1452,1085
"CO68081",399,399,167609,75700,402,1153,38260,37440
"CO68092",11,11,3989,1453,11,39,620,833
"CO68101",28,28,8280,2671,76,98,1400,1271
"CO68121",4,4,1644,678,7,10,446,232
"CO68132",4,4,1676,684,5,19,152,532
"CO68147",11,11,4870,1775,33,32,672,1103
"CO68152",15,15,3656,1567,23,61,509,1058
"CO68160",10,10,1771,902,16,25,584,318
"CO68162",11,11,4803,2058,37,82,949,1109
"CO68167",22,22,9583,3501,28,53,2148,1353
"CO68169",11,11,3218,1313,8,18,372,941
"CO68176",6,6,2338,857,25,31,558,299
"CO68179",10,10,4142,960,17,12,687,273
"CO68190",73,73,28154,9198,79,271,3718,5480
"CO68207",15,15,4893,1657,165,62,642,1015
"CO68209",6,6,2348,845,6,14,321,524
"CO68211",8,8,2920,1316,25,30,762,554
"CO68217",11,11,4141,1486,41,67,795,691
"CO68229",24,24,8217,3267,35,76,1526,1741
"CO68235",31,31,10715,4252,44,162,1138,3114
"CO68245",5,5,1590,773,17,23,539,234
"CO68250",14,14,3339,1251,32,45,620,631
"CO68255",34,34,11556,4198,59,104,1157,3041
"CO68264",5,5,2123,649,17,26,405,244
"CO68266",13,13,3267,1297,18,30,595,702
"CO68271",15,15,5159,1665,16,22,1115,550
"CO68276",423,423,178805,86829,167,870,36189,50640
"CO68296",12,12,2536,1037,14,31,434,603
"CO68298",9,9,3239,1100,16,19,603,497
"CO68307",251,251,105643,45151,114,549,17099,28052
"CO68318",19,19,5140,1981,33,38,766,1215
"CO68320",12,12,4334,1515,22,30,607,908
"CO68322",5,5,1834,738,9,27,381,357
"CO68324",11,11,4470,1303,14,28,808,495
"CO68327",10,10,4173,1433,9,20,885,548
"CO68344",5,5,1825,774,24,19,464,310
"CO68368",9,9,3248,1020,16,19,645,375
"CO68370",4,4,1107,385,11,3,194,191
"CO68377",14,14,5353,2205,17,28,741,1464
"CO68385",26,26,9356,2820,62,173,1484,1336
"CO68397",12,12,4139,1171,17,29,681,490
"CO68406",76,76,29381,12595,61,175,3857,8738
"CO68418",21,21,8529,3908,35,166,1643,2265
"CO68425",6,6,2244,803,16,21,456,347
"CO68432",41,41,15663,6624,39,178,2538,4086
"CO68444",14,14,4853,2200,17,39,866,1334
"CO68464",21,21,7512,2666,60,128,1165,1501
"CO68468",15,15,3592,1361,34,38,531,830
"CO68498",9,9,3773,1618,17,35,1129,489
"CO68500",20,20,8450,3474,29,79,1543,1931
"CO68502",12,12,3795,1188,47,41,634,554
"CO68522",4,4,1353,580,8,6,397,183
"CO68524",6,6,2453,982,11,20,526,456
"CO68533",9,9,3201,1545,8,33,791,754
"CO68547",242,242,100462,47962,340,739,19145,28817
"CO68549",8,8,3181,1319,13,25,742,577
"CO68572",37,37,12869,4349,35,72,2492,1857
"CO68573",14,14,5414,1513,15,17,487,1026
"CO68575",62,62,22860,8415,42,162,4098,4317
"CO68615",63,63,22075,8022,95,179,2675,5347
"CO68655",47,47,20581,7733,59,124,2386,5347
"CO68669",24,24,7084,2954,52,79,1642,1312
"CO68673",7,7,2989,863,9,8,584,279
"CO68679",101,101,40079,16990,215,257,8574,8416
"CO68682",5,5,2219,693,21,25,429,264
"CO68684",13,13,3917,1765,28,25,578,1187
"CO68686",9,9,2161,779,22,24,423,356
"CO68689",63,63,24555,8841,80,252,3604,5237
"CO68705",6,6,1995,708,11,15,255,453
"CO68720",9,9,3101,1029,19,65,396,633
"CO68745",16,16,5898,2207,17,66,1237,970
"CO68755",56,56,23774,9397,36,123,4348,5049
"CO68770",20,20,8256,2584,29,65,1395,1189
"CO68773",20,20,5837,1802,28,28,698,1104
"CO68780",10,10,3016,1283,20,40,478,805
"CO68820",13,13,4950,1957,16,66,808,1149
"CO68855",12,12,4637,1839,18,45,935,904
