"displ_1999","displ_2000","displ_2001","displ_2002","displ_2003","displ_2004","displ_2005","displ_2006","displ_2007","displ_2008","displ_2009","displ_2010","displ_2011","displ_2012","displ_2013","displ_2014","admin2Pcod","displ_mean"
516,7450,0,71,98,565,1023,35,2767,549,211,710,193,408,364,112,"CO05847",942
4,0,0,10,47,17,33,NA,50,4150,327,795,47,422,256,107,"CO05854",417.666666666667
0,0,0,0,4,14,0,NA,0,0,2,5,3,9,5,0,"CO05856",2.8
0,0,20,15,4,8,0,NA,0,24,4,190,38,422,328,32,"CO05858",72.3333333333333
0,0,0,0,2,5,0,NA,0,3,11,18,24,19,29,6,"CO05861",7.8
383,0,0,0,201,21,15,NA,0,2,10,305,0,736,116,33,"CO05873",121.466666666667
300,0,400,0,6,41,32,NA,0,NA,NA,62,0,42,29,5,"CO05885",70.5384615384615
0,195,166,15,29,31,23,NA,43,276,101,337,136,648,419,157,"CO05887",171.733333333333
382,0,233,29,5,7,0,NA,18,12,2,124,12,107,94,25,"CO05890",70
670,3485,923,190,70,13,0,125,119,252,92,177,31,121,131,19,"CO05893",401.125
0,0,1150,0,2541,94,175,NA,44,533,313,910,329,731,668,183,"CO05895",511.4
3890,16048,5020,5502,1423,3033,6093,2427,3916,2689,2324,288,1325,298,328,116,"CO08001",3420
0,0,100,79,24,38,86,24,34,42,29,36,11,13,26,13,"CO08078",34.6875
70,0,15,125,0,8,21,NA,0,4,9,0,0,0,0,4,"CO08137",17.0666666666667
0,15,0,0,0,0,44,NA,0,0,NA,12,0,0,0,0,"CO08141",5.07142857142857
225,0,138,34,35,144,147,211,58,56,29,40,35,24,20,7,"CO08296",75.1875
60,0,0,8,0,0,0,NA,0,NA,NA,4,0,5,0,0,"CO08372",5.92307692307692
0,0,50,40,0,79,32,9,7,5,7,8,4,4,40,26,"CO08421",19.4375
785,230,335,725,213,1162,599,302,355,320,187,43,127,59,57,10,"CO08433",344.3125
0,0,32,42,5,8,11,NA,0,7,NA,19,0,0,0,0,"CO08436",8.85714285714286
300,120,0,73,10,30,35,NA,0,1,NA,8,8,0,0,0,"CO08520",41.7857142857143
0,0,0,0,0,0,5,NA,0,NA,NA,0,4,0,0,8,"CO08549",1.30769230769231
153,49,0,38,16,6,17,NA,2,1,NA,3,0,0,1,0,"CO08558",20.4285714285714
64,1250,642,53,3,10,10,10,8,4,NA,5,0,0,2,0,"CO08560",137.4
90,0,100,85,9,0,42,NA,55,24,16,0,46,0,24,9,"CO08573",33.3333333333333
25,0,20,77,0,0,16,NA,0,13,1,10,0,10,1,0,"CO08606",11.5333333333333
491,373,157,123,17,16,58,49,53,53,29,21,11,5,29,4,"CO08634",93.0625
356,0,83,148,28,16,46,25,27,44,18,31,37,30,11,11,"CO08638",56.9375
0,0,40,162,0,0,0,NA,0,3,4,9,0,0,0,2,"CO08675",14.6666666666667
85,695,296,76,60,39,96,148,49,25,19,12,17,9,0,0,"CO08685",101.625
1079,670,1085,3559,1013,1962,2843,1838,966,2938,1014,155,1458,132,171,76,"CO08758",1309.9375
0,1373,208,12,0,0,0,17,7,0,NA,0,0,0,0,0,"CO08770",107.8
0,69,0,63,13,16,12,14,10,8,11,10,3,0,0,0,"CO08832",14.3125
0,0,0,7,678,0,0,NA,0,0,NA,4,0,0,0,0,"CO08849",49.2142857142857
33143,43780,53520,51737,13074,31491,39176,31670,44791,56087,42999,26352,41246,626,387,178,"CO11001",31891.0625
6640,3858,5746,5825,3888,7069,9992,11178,6216,4364,4477,2705,1592,339,286,131,"CO13001",4644.125
375,50,55,47,71,56,29,13,3,6,NA,225,21,223,256,84,"CO13006",100.933333333333
360,0,0,0,0,5,0,NA,0,0,NA,186,7,30,67,3,"CO13030",47
260,350,0,0,55,278,35,NA,60,22,1,92,27,94,80,23,"CO13042",91.8
130,77,760,87,177,85,160,27,117,117,67,49,18,63,51,12,"CO13052",124.8125
0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,1,0,"CO13062",0.0769230769230769
270,38,50,196,61,17,0,NA,0,5,2,151,160,116,156,34,"CO13074",83.7333333333333
0,40,0,0,0,0,13,62,0,1,NA,32,0,15,3,5,"CO13140",11.4
2634,1190,1750,740,0,24,32,NA,70,37,18,381,22,128,103,15,"CO13160",476.266666666667
0,0,0,30,0,7,6,NA,0,0,11,3,0,17,8,0,"CO13188",5.46666666666667
