DIVIPOLA,DEPARTAMENTO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
08001,ATLANTICO,BARRANQUILLA,3890,16048,5020,5502,1423,3033,6093,2427,3916,2689,2324,288,1325,298,328,116
08078,ATLANTICO,BARANOA,0,0,100,79,24,38,86,24,34,42,29,36,11,13,26,13
08137,ATLANTICO,CAMPO DE LA CRUZ,70,0,15,125,0,8,21,,0,4,9,0,0,0,0,4
08141,ATLANTICO,CANDELARIA,0,15,0,0,0,0,44,,0,0,,12,0,0,0,0
08296,ATLANTICO,GALAPA,225,0,138,34,35,144,147,211,58,56,29,40,35,24,20,7
08372,ATLANTICO,JUAN DE ACOSTA,60,0,0,8,0,0,0,,0,,,4,0,5,0,0
08421,ATLANTICO,LURUACO,0,0,50,40,0,79,32,9,7,5,7,8,4,4,40,26
08433,ATLANTICO,MALAMBO,785,230,335,725,213,1162,599,302,355,320,187,43,127,59,57,10
08436,ATLANTICO,MANATI,0,0,32,42,5,8,11,,0,7,,19,0,0,0,0
08520,ATLANTICO,PALMAR DE VARELA,300,120,0,73,10,30,35,,0,1,,8,8,0,0,0
08549,ATLANTICO,PIOJO,0,0,0,0,0,0,5,,0,,,0,4,0,0,8
08558,ATLANTICO,POLONUEVO,153,49,0,38,16,6,17,,2,1,,3,0,0,1,0
08560,ATLANTICO,PONEDERA,64,1250,642,53,3,10,10,10,8,4,,5,0,0,2,0
08573,ATLANTICO,PUERTO COLOMBIA,90,0,100,85,9,0,42,,55,24,16,0,46,0,24,9
08606,ATLANTICO,REPELON,25,0,20,77,0,0,16,,0,13,1,10,0,10,1,0
08634,ATLANTICO,SABANAGRANDE,491,373,157,123,17,16,58,49,53,53,29,21,11,5,29,4
08638,ATLANTICO,SABANALARGA,356,0,83,148,28,16,46,25,27,44,18,31,37,30,11,11
08675,ATLANTICO,SANTA LUCIA,0,0,40,162,0,0,0,,0,3,4,9,0,0,0,2
08685,ATLANTICO,SANTO TOMAS,85,695,296,76,60,39,96,148,49,25,19,12,17,9,0,0
08758,ATLANTICO,SOLEDAD,1079,670,1085,3559,1013,1962,2843,1838,966,2938,1014,155,1458,132,171,76
08770,ATLANTICO,SUAN,0,1373,208,12,0,0,0,17,7,0,,0,0,0,0,0
08832,ATLANTICO,TUBARA,0,69,0,63,13,16,12,14,10,8,11,10,3,0,0,0
08849,ATLANTICO,USIACURI,0,0,0,7,678,0,0,,0,0,,4,0,0,0,0
11001,BOGOTA,BOGOTA. D.C.,33143,43780,53520,51737,13074,31491,39176,31670,44791,56087,42999,26352,41246,626,387,178
13001,BOLIVAR,CARTAGENA,6640,3858,5746,5825,3888,7069,9992,11178,6216,4364,4477,2705,1592,339,286,131
13006,BOLIVAR,ACHI,375,50,55,47,71,56,29,13,3,6,,225,21,223,256,84
13030,BOLIVAR,ALTOS DEL ROSARIO,360,0,0,0,0,5,0,,0,0,,186,7,30,67,3
13042,BOLIVAR,ARENAL,260,350,0,0,55,278,35,,60,22,1,92,27,94,80,23
13052,BOLIVAR,ARJONA,130,77,760,87,177,85,160,27,117,117,67,49,18,63,51,12
13062,BOLIVAR,ARROYOHONDO,0,0,0,0,0,0,0,,0,,,0,0,0,1,0
13074,BOLIVAR,BARRANCO DE LOBA,270,38,50,196,61,17,0,,0,5,2,151,160,116,156,34
13140,BOLIVAR,CALAMAR,0,40,0,0,0,0,13,62,0,1,,32,0,15,3,5
13160,BOLIVAR,CANTAGALLO,2634,1190,1750,740,0,24,32,,70,37,18,381,22,128,103,15
13188,BOLIVAR,CICUCO,0,0,0,30,0,7,6,,0,0,11,3,0,17,8,0
13212,BOLIVAR,CORDOBA,0,900,20,457,0,34,0,14,51,,,140,0,15,15,5
13222,BOLIVAR,CLEMENCIA,0,0,0,107,47,28,23,,1,3,,19,18,11,15,6
13244,BOLIVAR,EL CARMEN DE BOLIVAR,6301,8525,2960,981,2716,903,844,949,187,116,44,295,8,245,169,32
13248,BOLIVAR,EL GUAMO,0,0,0,0,0,0,0,14,8,0,,27,0,6,13,2
13268,BOLIVAR,EL PEÑON,0,0,0,0,5,0,0,,0,4,,26,1,14,14,7
13300,BOLIVAR,HATILLO DE LOBA,32,0,0,0,0,0,0,,0,0,,17,0,15,5,1
13430,BOLIVAR,MAGANGUE,2038,350,3490,1004,578,399,740,50,320,810,1644,1996,1411,239,187,43
13433,BOLIVAR,MAHATES,448,195,526,0,23,3,0,,17,11,,19,26,12,5,1
13440,BOLIVAR,MARGARITA,0,0,0,0,0,0,0,,0,,,14,0,15,15,14
13442,BOLIVAR,MARIA LA BAJA,1111,1750,51,37,319,987,275,39,241,198,45,182,4,82,88,16
13458,BOLIVAR,MONTECRISTO,240,850,15,26,0,56,100,,193,27,2,159,26,444,1042,70
13468,BOLIVAR,MOMPOS,37,47,40,0,0,5,0,,5,22,,129,6,51,55,21
13473,BOLIVAR,NOROSI,819,1372,90,547,244,356,119,,80,107,41,306,20,157,155,53
13490,BOLIVAR,MORALES,,,,,,,,,,,,31,0,78,190,28
13549,BOLIVAR,PINILLOS,90,0,0,0,32,0,0,,0,,13,286,21,60,136,39
13580,BOLIVAR,REGIDOR,0,0,20,0,0,45,39,,19,16,,32,0,5,27,2
13600,BOLIVAR,RIO VIEJO,0,434,85,115,112,43,0,,84,22,15,67,133,60,54,12
13620,BOLIVAR,SAN CRISTOBAL,0,0,0,0,0,10,0,,7,0,,13,0,4,8,0
13647,BOLIVAR,SAN ESTANISLAO,0,0,108,0,482,3,0,,4,0,,16,0,0,3,0
13650,BOLIVAR,SAN FERNANDO,0,0,0,0,0,0,0,,0,0,,18,0,15,1,10
13654,BOLIVAR,SAN JACINTO,5020,475,383,0,139,160,44,8,23,0,,109,2,76,40,1
13655,BOLIVAR,SAN JACINTO DEL CAUCA,0,0,0,0,0,8,63,,0,3,,134,13,76,14,5
13657,BOLIVAR,SAN JUAN NEPOMUCENO,1561,785,189,1422,1,250,210,2648,206,12,21,59,24,47,22,7
13667,BOLIVAR,SAN MARTIN DE LOBA,201,50,0,0,0,19,31,,2,,,129,30,115,47,25
13670,BOLIVAR,SAN PABLO,2448,1490,2765,1010,422,540,544,,773,1572,1846,1040,904,584,503,97
13673,BOLIVAR,SANTA CATALINA,0,0,0,0,0,10,0,,0,0,,9,0,0,10,1
13683,BOLIVAR,SANTA ROSA,0,3072,1772,0,181,77,236,,155,151,163,234,10,345,457,76
13688,BOLIVAR,SANTA ROSA DEL SUR,431,0,420,793,54,91,121,1000,698,1256,651,478,336,640,456,140
13744,BOLIVAR,SIMITI,987,162,88,94,13,26,5,,74,126,78,344,91,141,218,22
13760,BOLIVAR,SOPLAVIENTO,0,0,0,0,0,0,21,,0,0,,6,0,0,0,7
13780,BOLIVAR,TALAIGUA NUEVO,0,0,0,0,0,5,0,,0,,,19,0,7,13,0
13810,BOLIVAR,TIQUISIO,2162,50,80,0,0,66,376,,17,40,16,200,18,427,458,58
13836,BOLIVAR,TURBACO,310,1136,1043,130,65,226,173,,57,96,81,37,38,63,26,14
13838,BOLIVAR,TURBANA,0,0,0,0,0,7,0,,2,3,,3,0,18,13,4
13873,BOLIVAR,VILLANUEVA,0,130,333,87,9,124,10,,19,,6,63,1,11,18,4
13894,BOLIVAR,ZAMBRANO,710,230,495,47,81,42,8,,0,112,297,127,3,31,11,9
15001,BOYACA,TUNJA,655,920,893,500,194,370,418,530,532,98,105,236,94,3,3,14
15022,BOYACA,ALMEIDA,0,0,0,0,0,0,0,,0,0,,4,0,0,0,0
15047,BOYACA,AQUITANIA,0,0,14,6,167,30,27,,6,1,4,18,6,25,13,7
15051,BOYACA,ARCABUCO,0,0,0,0,6,27,0,12,4,13,,0,2,0,0,0
15087,BOYACA,BELEN,0,0,0,0,0,0,15,,11,,3,0,8,4,1,3
15090,BOYACA,BERBEO,0,0,35,0,0,5,0,13,3,0,8,0,9,5,0,0
15092,BOYACA,BETEITIVA,0,0,0,0,0,4,0,,3,0,,0,0,0,0,0
15097,BOYACA,BOAVITA,0,0,0,0,0,0,0,9,0,0,,4,0,0,0,0
15104,BOYACA,BOYACA,0,0,0,0,0,0,0,10,0,11,6,18,0,3,15,0
15106,BOYACA,BRICEÑO,0,0,0,0,0,0,0,,0,6,,3,0,0,0,7
15109,BOYACA,BUENAVISTA,0,0,20,11,1,6,0,12,2,12,5,0,2,0,0,0
15114,BOYACA,BUSBANZA,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15131,BOYACA,CALDAS,0,0,0,0,0,0,0,,0,0,,0,0,5,0,0
15135,BOYACA,CAMPOHERMOSO,0,0,20,82,0,0,0,,9,0,,8,0,5,1,0
15162,BOYACA,CERINZA,0,0,0,0,0,0,0,,0,0,,0,0,0,1,0
15172,BOYACA,CHINAVITA,0,0,0,35,7,0,12,,13,0,,0,0,0,0,0
15176,BOYACA,CHIQUINQUIRA,0,49,25,128,6,67,68,153,218,98,50,22,63,7,5,4
15180,BOYACA,CHISCAS,0,0,0,0,0,0,0,,0,0,,0,0,11,5,5
15183,BOYACA,CHITA,0,0,0,0,11,7,19,28,11,13,12,25,4,29,20,0
15185,BOYACA,CHITARAQUE,0,0,0,0,8,0,0,,13,4,12,28,0,5,4,1
15187,BOYACA,CHIVATA,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15189,BOYACA,CIENEGA,0,0,0,82,0,192,0,,0,0,,6,8,0,0,0
15204,BOYACA,COMBITA,0,0,0,0,0,0,0,,17,0,4,6,0,0,0,0
15212,BOYACA,COPER,0,0,0,0,0,12,0,,10,20,,5,0,1,3,0
15215,BOYACA,CORRALES,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15218,BOYACA,COVARACHIA,0,0,0,0,0,0,0,,0,0,,0,2,3,0,0
15223,BOYACA,CUBARA,265,0,0,0,6,44,61,56,124,89,12,25,8,51,28,11
15224,BOYACA,CUCAITA,0,0,0,0,0,0,0,,0,0,,5,0,0,5,2
15226,BOYACA,CUITIVA,0,0,0,0,76,0,0,,0,0,,0,0,0,0,0
15232,BOYACA,CHIQUIZA,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15236,BOYACA,CHIVOR,0,0,0,0,0,27,7,17,0,1,,8,0,1,10,0
15238,BOYACA,DUITAMA,135,0,435,340,214,670,118,71,181,115,114,18,85,4,3,1
15244,BOYACA,EL COCUY,20,0,0,0,0,0,0,,0,0,,13,0,4,1,0
15248,BOYACA,EL ESPINO,50,0,0,0,0,0,0,,0,0,,0,0,0,0,0
15272,BOYACA,FIRAVITOBA,0,0,0,0,0,21,0,,0,0,12,0,0,0,0,0
15276,BOYACA,FLORESTA,0,0,0,3,9,6,0,,0,0,,0,0,0,0,0
15293,BOYACA,GACHANTIVA,0,0,0,26,0,0,0,,0,0,,0,0,0,0,0
15296,BOYACA,GAMEZA,0,0,0,0,0,0,0,11,0,5,,5,0,0,0,0
15299,BOYACA,GARAGOA,45,0,90,0,24,22,49,49,25,13,19,8,30,6,0,0
15317,BOYACA,GUACAMAYAS,0,0,0,0,0,0,0,,5,0,,3,0,4,0,0
15322,BOYACA,GUATEQUE,0,0,15,13,19,5,2,27,4,22,31,10,9,1,3,0
15325,BOYACA,GUAYATA,0,0,0,28,0,3,0,,6,5,10,6,8,0,5,0
15332,BOYACA,GsICAN,90,0,0,0,0,0,0,53,0,0,,1,0,3,4,0
15362,BOYACA,IZA,0,0,0,0,8,0,0,,0,0,,0,0,0,6,0
15367,BOYACA,JENESANO,0,0,0,0,0,0,18,,0,0,,0,0,0,0,0
15368,BOYACA,JERICO,0,0,0,0,0,0,0,,0,0,,18,0,8,0,0
