DIVIPOLA,DEPARTAMENTO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
25745,CUNDINAMARCA,SIMIJACA,0,0,10,0,0,0,0,,9,4,,0,8,0,0,0
25754,CUNDINAMARCA,SOACHA,2083,845,1030,2861,1286,4166,3325,3916,4009,4671,4467,2132,2391,334,210,127
25758,CUNDINAMARCA,SOPO,0,0,0,52,13,0,33,,2,1,,0,0,6,0,0
25769,CUNDINAMARCA,SUBACHOQUE,0,0,0,0,10,0,0,,5,,9,6,3,0,4,0
25772,CUNDINAMARCA,SUESCA,0,0,0,0,0,14,27,11,2,8,7,3,9,0,0,0
25777,CUNDINAMARCA,SUPATA,0,0,0,0,0,24,14,,0,4,,1,4,0,0,0
25779,CUNDINAMARCA,SUSA,0,0,0,0,0,0,0,,0,0,,0,0,0,3,0
25781,CUNDINAMARCA,SUTATAUSA,0,0,0,2,0,0,0,,11,16,,0,9,0,0,0
25785,CUNDINAMARCA,TABIO,0,0,32,3,18,15,54,9,18,17,20,0,11,0,0,0
25793,CUNDINAMARCA,TAUSA,0,0,0,0,0,0,0,,0,0,,4,0,0,0,0
25797,CUNDINAMARCA,TENA,0,0,12,6,12,11,21,,15,15,6,8,4,0,0,0
25799,CUNDINAMARCA,TENJO,0,0,11,77,33,27,48,89,13,29,30,1,17,5,0,0
25805,CUNDINAMARCA,TIBACUY,0,0,0,0,3,6,7,,14,0,2,22,11,17,5,0
25807,CUNDINAMARCA,TIBIRITA,0,0,0,0,0,0,0,19,7,0,,0,0,0,3,0
25815,CUNDINAMARCA,TOCAIMA,0,0,0,0,8,5,5,15,18,12,13,19,20,7,2,0
25817,CUNDINAMARCA,TOCANCIPA,0,0,15,25,12,45,39,59,38,77,38,23,44,0,3,0
25823,CUNDINAMARCA,TOPAIPI,0,200,0,0,0,0,0,81,6,21,,49,8,12,6,4
25839,CUNDINAMARCA,UBALA,74,0,0,0,0,0,23,,0,,2,12,11,20,22,3
25841,CUNDINAMARCA,UBAQUE,0,0,0,0,5,7,10,,4,4,,5,0,0,0,0
25843,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,0,0,0,25,0,0,26,57,5,33,21,5,32,0,6,4
25845,CUNDINAMARCA,UNE,0,0,0,33,0,0,7,15,25,0,9,9,3,3,3,4
25851,CUNDINAMARCA,UTICA,0,65,62,212,6,0,17,51,9,15,,4,0,1,10,0
25862,CUNDINAMARCA,VERGARA,0,0,0,30,6,20,78,59,32,39,13,36,13,9,0,7
25867,CUNDINAMARCA,VIANI,0,0,0,0,0,0,0,,6,8,7,12,0,4,6,0
25871,CUNDINAMARCA,VILLAGOMEZ,0,0,0,8,11,0,0,,0,,,0,0,0,1,4
25873,CUNDINAMARCA,VILLAPINZON,0,0,0,0,335,0,0,,5,0,,10,0,0,7,0
25875,CUNDINAMARCA,VILLETA,0,0,62,46,26,19,25,30,23,,15,26,9,25,4,0
25878,CUNDINAMARCA,VIOTA,125,0,0,13,8856,45,47,20,97,67,62,91,22,31,51,27
25885,CUNDINAMARCA,YACOPI,158,540,265,31,0,19,15,116,149,11,4,158,0,31,47,19
25898,CUNDINAMARCA,ZIPACON,0,0,15,0,0,0,0,16,2,,14,0,2,0,0,0
25899,CUNDINAMARCA,ZIPAQUIRA,0,0,84,97,128,85,156,82,178,96,48,8,29,6,9,0
27001,CHOCO,QUIBDO,2490,7054,5390,12201,2419,1494,3115,1572,1916,2055,3456,981,3344,1813,2341,553
27006,CHOCO,ACANDI,460,0,350,0,0,5,5,25,0,4,29,72,463,317,84,54
27025,CHOCO,ALTO BAUDO,0,0,0,0,91,140,0,13,0,514,1264,323,1,275,511,2920
27050,CHOCO,ATRATO,210,0,20,8,0,0,0,,0,9,,40,2,424,88,76
27073,CHOCO,BAGADO,78,0,25,0,0,31,0,13,4,10,,147,17,4938,544,47
27075,CHOCO,BAHIA SOLANO,4500,560,135,25,0,0,0,,3,273,9,75,16,140,48,17
27077,CHOCO,BAJO BAUDO,0,0,0,0,0,13,980,465,11,351,1321,1784,1357,2651,1221,262
27086,CHOCO,BELEN DE BAJIRA,0,0,0,0,0,38,0,11,0,0,,6,0,40,0,0
27099,CHOCO,BOJAYA,154,41,0,0,399,245,3300,122,0,,62,132,0,98,556,31
27135,CHOCO,EL CANTON DEL SAN PABLO,162,0,0,0,0,0,0,,11,1,,50,15,29,40,18
27150,CHOCO,CARMEN DEL DARIEN,0,0,0,360,0,17,11,25,2096,,22,25,4,136,73,15
27160,CHOCO,CERTEGUI,0,0,0,0,0,0,0,,0,4,,9,3,6,15,12
27205,CHOCO,CONDOTO,0,0,30,404,401,458,216,31,537,27,114,172,19,114,125,48
27245,CHOCO,EL CARMEN DE ATRATO,730,70,293,88,5,513,5,62,47,20,10,56,50,383,265,36
27250,CHOCO,EL LITORAL DEL SAN JUAN,0,0,0,0,0,0,0,9,290,112,80,830,7,971,2148,274
27361,CHOCO,ISTMINA,0,600,266,45,0,1040,76,998,617,1611,162,809,160,464,658,293
27372,CHOCO,JURADO,207,60,0,0,0,0,13,,0,,5,5,3,21,23,4
27413,CHOCO,LLORO,0,0,34,981,829,1,0,56,8,12,,123,120,405,270,163
27425,CHOCO,MEDIO ATRATO,0,0,0,0,0,432,192,11,0,45,,160,276,745,135,65
27430,CHOCO,MEDIO BAUDO,0,0,0,0,0,0,0,87,15,210,243,631,199,963,444,132
27450,CHOCO,MEDIO SAN JUAN,0,0,0,0,0,520,23,,78,65,34,141,13,610,225,50
27491,CHOCO,NOVITA,0,0,25,0,0,0,36,35,106,28,15,79,0,145,241,39
27495,CHOCO,NUQUI,0,227,48,20,0,0,0,12,0,0,,127,19,98,273,62
27580,CHOCO,RIO IRO,0,0,0,0,0,0,0,,0,58,125,12,101,22,70,27
27600,CHOCO,RIO QUITO,0,0,0,418,0,0,0,,0,0,,41,15,44,79,36
27615,CHOCO,RIOSUCIO,480,92,435,382,548,28,35,813,17,17,,221,160,438,1612,248
27660,CHOCO,SAN JOSE DEL PALMAR,0,0,0,64,30,226,1276,74,59,54,41,206,37,229,232,52
27745,CHOCO,SIPI,0,0,0,0,0,0,0,341,969,0,,50,0,45,738,26
27787,CHOCO,TADO,96,47,30,90,450,70,0,6,5,21,25,278,15,1061,390,46
27800,CHOCO,UNGUIA,312,72,255,0,0,19,5,878,12,41,371,149,172,237,156,29
27810,CHOCO,UNION PANAMERICANA,0,0,0,0,0,0,0,5,28,65,5,27,10,20,16,3
41001,HUILA,NEIVA,2173,5340,1938,5927,1709,2939,3263,3025,4536,5165,3683,949,2449,716,662,199
41006,HUILA,ACEVEDO,40,497,105,82,61,88,113,173,285,307,193,449,139,340,415,145
41013,HUILA,AGRADO,0,0,0,0,0,0,0,49,37,42,34,22,22,7,11,9
41016,HUILA,AIPE,0,0,161,180,31,48,74,116,61,133,105,291,78,164,122,14
41020,HUILA,ALGECIRAS,271,0,58,54,7,151,31,62,57,44,21,719,27,740,535,173
41026,HUILA,ALTAMIRA,0,0,12,8,14,38,12,7,15,32,9,16,0,3,7,2
41078,HUILA,BARAYA,28,0,203,145,422,61,44,104,79,58,320,173,143,177,187,26
41132,HUILA,CAMPOALEGRE,126,159,144,213,93,195,141,209,219,415,310,281,275,144,168,50
41206,HUILA,COLOMBIA,0,0,190,146,528,7,6,5,244,389,260,246,108,263,222,40
41244,HUILA,ELIAS,0,0,0,13,0,0,18,53,0,44,,25,2,16,4,10
41298,HUILA,GARZON,185,637,558,418,199,243,385,972,739,1239,622,553,435,415,479,103
41306,HUILA,GIGANTE,55,202,0,25,35,217,94,167,76,264,130,265,148,251,210,65
41319,HUILA,GUADALUPE,0,0,130,163,55,79,51,254,123,236,95,187,114,147,198,88
41349,HUILA,HOBO,0,204,143,37,14,59,29,57,55,53,13,92,82,34,46,6
41357,HUILA,IQUIRA,50,0,0,39,29,21,22,68,11,19,36,164,74,154,117,37
41359,HUILA,ISNOS,0,0,277,35,10,25,41,151,112,113,87,400,196,246,314,163
41378,HUILA,LA ARGENTINA,0,0,50,56,25,43,86,116,88,177,117,123,80,107,135,69
41396,HUILA,LA PLATA,233,163,539,250,98,122,158,195,222,259,276,328,144,323,487,128
41483,HUILA,NATAGA,0,0,0,0,2,42,35,17,62,11,,45,4,47,92,11
41503,HUILA,OPORAPA,0,110,10,27,17,95,44,84,78,122,51,98,71,109,70,17
41518,HUILA,PAICOL,0,0,0,27,4,5,15,30,27,30,12,17,38,15,16,0
41524,HUILA,PALERMO,40,0,179,86,66,27,57,82,57,90,88,131,68,117,109,23
41530,HUILA,PALESTINA,0,442,0,63,52,65,104,99,111,78,54,70,47,42,67,21
41548,HUILA,PITAL,0,0,0,43,9,30,84,80,15,76,28,57,18,46,47,29
41551,HUILA,PITALITO,451,1300,469,962,336,464,742,1506,1022,1308,1515,791,1277,409,490,225
41615,HUILA,RIVERA,78,0,145,65,15,66,108,98,162,178,141,106,53,96,73,15
41660,HUILA,SALADOBLANCO,30,0,0,24,5,26,81,113,112,152,60,115,53,98,175,48
41668,HUILA,SAN AGUSTIN,30,420,108,146,34,94,68,130,223,213,183,500,183,356,343,136
41676,HUILA,SANTA MARIA,0,0,0,0,8,1,66,142,102,95,58,102,36,117,164,33
41770,HUILA,SUAZA,0,0,58,60,8,43,115,167,162,363,275,136,185,99,142,66
41791,HUILA,TARQUI,0,0,15,0,13,32,31,47,44,57,24,144,93,161,459,155
41797,HUILA,TESALIA,0,0,30,70,11,13,46,61,44,46,58,22,26,32,85,18
41799,HUILA,TELLO,0,91,0,34,2,38,0,26,42,54,48,177,17,245,242,46
41801,HUILA,TERUEL,0,0,25,95,0,0,7,6,0,32,11,65,55,71,49,19
41807,HUILA,TIMANA,0,0,20,0,3,61,64,244,191,114,95,168,53,60,86,37
41872,HUILA,VILLAVIEJA,0,0,19,30,15,14,35,167,35,25,18,47,36,46,28,15
41885,HUILA,YAGUARA,0,0,15,24,0,22,0,19,49,34,31,17,18,0,12,0
44001,LA GUAJIRA,RIOHACHA,1050,1620,985,2767,1298,2723,2002,1618,2485,3744,2694,799,1574,547,788,75
44035,LA GUAJIRA,ALBANIA,0,0,0,0,0,0,233,65,63,75,42,151,39,90,32,4
44078,LA GUAJIRA,BARRANCAS,0,0,37,28,696,119,100,110,126,76,53,53,41,109,95,18
44090,LA GUAJIRA,DIBULLA,0,115,50,151,161,710,473,794,782,549,396,806,194,483,337,62
44098,LA GUAJIRA,DISTRACCION,0,210,72,0,0,0,26,590,181,14,16,8,11,12,0,4
44110,LA GUAJIRA,EL MOLINO,0,0,26,52,14,21,31,,21,25,30,18,27,5,26,0
44279,LA GUAJIRA,FONSECA,191,376,292,240,165,103,87,75,149,66,154,47,195,616,226,6
44378,LA GUAJIRA,HATONUEVO,0,0,0,0,10,23,29,56,57,105,84,10,37,21,28,5
44420,LA GUAJIRA,LA JAGUA DEL PILAR,0,0,0,0,0,19,31,53,57,5,,3,0,11,8,0
44430,LA GUAJIRA,MAICAO,75,0,204,283,182,992,149,246,202,361,297,321,336,808,392,95
44560,LA GUAJIRA,MANAURE,0,0,0,0,11,0,0,173,90,13,,4,28,16,18,0
44650,LA GUAJIRA,SAN JUAN DEL CESAR,350,457,370,1429,1239,4511,153,848,152,237,323,30,249,93,52,9
44847,LA GUAJIRA,URIBIA,0,0,0,0,0,791,0,108,0,7,8,5,12,22,4,1
44855,LA GUAJIRA,URUMITA,150,160,27,121,43,32,26,270,315,64,28,30,32,33,55,2
44874,LA GUAJIRA,VILLANUEVA,115,170,181,113,327,62,0,23,20,14,148,16,3,10,32,7
47001,MAGDALENA,SANTA MARTA,3790,10717,6973,31817,7105,7139,9416,1344,9622,26390,7450,790,871,1635,1350,217
47030,MAGDALENA,ALGARROBO,0,0,1186,0,495,47,59,,8,9,5,34,0,34,37,16
47053,MAGDALENA,ARACATACA,265,100,326,71,247,480,211,,167,103,47,45,13,66,202,76
47058,MAGDALENA,ARIGUANI,481,134,14,15,4,8,0,,13,19,12,112,6,45,80,7
47161,MAGDALENA,CERRO SAN ANTONIO,0,0,0,0,0,14,0,,0,,,23,0,14,1,0
47170,MAGDALENA,CHIBOLO,132,132,0,14,0,40,0,,13,0,,88,0,25,21,3
47189,MAGDALENA,CIENAGA,868,1498,1037,5107,229,519,382,,279,276,133,799,121,317,276,119
47205,MAGDALENA,CONCORDIA,0,0,0,0,0,8,13,,0,0,,17,0,4,12,10
47245,MAGDALENA,EL BANCO,577,4288,2138,142,28,51,84,30,38,16,9,273,17,145,175,65
47258,MAGDALENA,EL PIÑON,390,100,0,0,0,44,44,,0,0,,30,6,27,101,14
47268,MAGDALENA,EL RETEN,50,292,25,0,0,15,94,,0,35,43,58,0,26,152,90
47288,MAGDALENA,FUNDACION,1959,4244,2573,254,268,505,261,64,14,81,37,141,16,145,205,61
47318,MAGDALENA,GUAMAL,95,0,706,0,0,8,25,,3,0,,107,0,49,29,12
47460,MAGDALENA,NUEVA GRANADA,0,0,0,0,0,22,24,,0,3,,35,0,35,2,4
47541,MAGDALENA,PEDRAZA,0,0,0,0,0,28,0,,0,0,,23,0,11,3,19
47545,MAGDALENA,PIJIÑO DEL CARMEN,0,0,0,0,0,0,0,,0,,,18,0,11,21,0
47551,MAGDALENA,PIVIJAY,265,3720,240,0,0,328,33,,0,,,80,1,25,58,65
47555,MAGDALENA,PLATO,620,647,31,0,154,110,150,132,197,58,15,420,37,91,100,23
47570,MAGDALENA,PUEBLOVIEJO,0,750,35,49,49,0,23,,0,,,58,1,133,58,24
47605,MAGDALENA,REMOLINO,0,6295,691,0,0,14,0,,0,0,,8,0,9,6,0
47660,MAGDALENA,SABANAS DE SAN ANGEL,0,0,0,0,0,26,0,,504,0,,61,9,21,23,4
47675,MAGDALENA,SALAMINA,0,200,0,0,0,5,35,,0,0,,5,0,2,1,0
47692,MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,0,0,0,0,0,28,0,,15,12,,10,4,33,10,7
47703,MAGDALENA,SAN ZENON,30,0,0,0,0,0,0,,0,0,,27,0,31,9,0
47707,MAGDALENA,SANTA ANA,18,0,0,0,0,36,40,,14,24,,58,6,15,18,3
47720,MAGDALENA,SANTA BARBARA DE PINTO,0,0,0,0,0,0,0,,15,26,,13,0,0,0,9
47745,MAGDALENA,SITIONUEVO,0,1645,221,38,0,41,73,133,4,39,,131,0,85,27,15
47798,MAGDALENA,TENERIFE,78,242,0,0,3,15,0,,43,6,6,67,0,47,16,16
47960,MAGDALENA,ZAPAYAN,0,0,0,0,0,0,0,,0,0,,5,0,30,1,0
47980,MAGDALENA,ZONA BANANERA,0,0,0,0,132,163,67,,264,159,64,231,9,226,175,88
50001,META,VILLAVICENCIO,6360,1080,3540,4650,3484,6451,8516,4162,7427,10841,4915,1271,2726,365,374,112
50006,META,ACACIAS,0,52,182,461,137,287,398,332,700,498,517,186,404,126,106,24
50110,META,BARRANCA DE UPIA,0,0,20,0,7,0,26,54,48,113,75,14,16,58,11,1
50124,META,CABUYARO,0,0,0,0,0,0,15,49,17,18,14,19,28,6,2,0
50150,META,CASTILLA LA NUEVA,0,0,0,24,0,34,51,54,56,63,60,26,38,22,12,1
50223,META,CUBARRAL,54,0,0,53,89,282,92,,55,35,39,43,8,22,28,0
50226,META,CUMARAL,71,51,106,59,62,63,116,32,142,165,90,50,100,22,28,20
50245,META,EL CALVARIO,0,0,0,0,0,7,0,43,0,9,,5,0,7,7,2
50251,META,EL CASTILLO,105,316,85,0,900,340,311,78,125,136,118,215,29,57,84,9
50270,META,EL DORADO,250,35,0,0,212,267,213,48,19,7,5,28,39,14,12,2
50287,META,FUENTE DE ORO,0,355,449,0,31,0,116,45,113,115,52,62,37,70,36,4
50313,META,GRANADA,595,348,732,166,212,237,575,693,809,1259,1788,317,670,233,309,55
50318,META,GUAMAL,40,0,353,0,0,57,61,,12,49,39,72,9,20,25,5
50325,META,MAPIRIPAN,0,0,0,3769,712,250,247,,20,667,52,769,55,395,346,71
50330,META,MESETAS,20,32,0,11,11,79,130,48,39,121,38,345,47,268,186,51
50350,META,LA MACARENA,0,0,0,20,54,270,170,85,238,113,51,423,36,342,351,88
50370,META,URIBE,22,0,0,11,1524,15,50,,0,31,10,384,20,322,359,85
50400,META,LEJANIAS,0,40,0,0,125,402,134,76,181,224,128,256,35,181,300,60
50450,META,PUERTO CONCORDIA,0,0,124,115,82,171,272,117,109,193,123,281,21,422,175,45
50568,META,PUERTO GAITAN,60,0,17,9,0,48,80,535,235,110,75,283,87,285,191,51
50573,META,PUERTO LOPEZ,60,89,32,92,122,558,120,58,70,384,314,169,130,168,131,76
50577,META,PUERTO LLERAS,495,419,588,24,49,69,92,401,146,40,33,343,27,127,173,25
50590,META,PUERTO RICO,358,300,346,16,78,316,1576,200,415,186,123,826,136,433,357,64
50606,META,RESTREPO,0,0,21,63,49,74,0,53,89,39,27,23,75,23,11,2
50680,META,SAN CARLOS DE GUAROA,0,0,0,0,0,0,60,47,40,25,92,37,19,35,43,22
50683,META,SAN JUAN DE ARAMA,420,320,255,37,275,512,496,546,229,161,231,309,100,96,115,40
50686,META,SAN JUANITO,0,0,0,102,0,14,31,,2,0,,14,4,10,27,0
50689,META,SAN MARTIN,156,0,98,81,70,142,350,63,317,240,186,175,106,132,65,23
50711,META,VISTAHERMOSA,30,0,0,131,189,600,1725,1275,514,528,426,1470,323,619,437,155
52001,NARIÑO,PASTO,2369,2750,8129,7601,2697,3393,5666,5995,5098,5082,4987,2456,3368,440,328,89
52019,NARIÑO,ALBAN,0,0,25,0,43,30,35,,13,36,15,87,36,67,127,51
52022,NARIÑO,ALDANA,0,0,0,10,8,0,0,,0,12,4,0,8,3,6,0
52036,NARIÑO,ANCUYA,45,0,0,0,21,32,15,54,28,44,24,16,50,38,9,10
52051,NARIÑO,ARBOLEDA,0,0,13,0,26,11,21,7,55,51,68,14,26,29,22,19
52079,NARIÑO,BARBACOAS,185,0,150,326,788,719,1683,646,721,2708,584,2313,859,1302,860,372
52083,NARIÑO,BELEN,0,0,10,0,0,0,0,,4,6,,45,16,60,82,29
52110,NARIÑO,BUESACO,0,51,30,50,36,55,159,11,66,68,97,142,99,139,80,28
52203,NARIÑO,COLON,0,0,0,0,0,8,0,,15,5,,102,21,192,214,85
52207,NARIÑO,CONSACA,0,0,61,132,103,42,20,6,49,188,124,28,86,53,31,17
52210,NARIÑO,CONTADERO,0,0,39,55,5,7,0,,0,1,,3,0,11,1,4
52215,NARIÑO,CORDOBA,10,52,386,450,105,64,73,28,74,830,280,41,108,41,32,27
52224,NARIÑO,CUASPUD,0,0,0,0,0,41,0,,0,2,,16,6,13,15,1
52227,NARIÑO,CUMBAL,0,0,0,29,60,219,17,49,321,174,94,23,32,59,76,13
52233,NARIÑO,CUMBITARA,50,0,12,15,80,137,62,194,1044,279,58,789,500,522,374,218
52240,NARIÑO,CHACHAGsI,0,60,27,55,54,8,71,7,67,83,80,23,37,20,36,18
52250,NARIÑO,EL CHARCO,67,0,0,0,0,855,1270,49,12746,93,4714,2007,601,778,682,159
52254,NARIÑO,EL PEÑOL,0,0,29,0,0,0,0,,29,159,31,81,75,67,49,34
52256,NARIÑO,EL ROSARIO,47,0,12,13,107,0,29,,74,92,111,729,1462,446,458,105
52258,NARIÑO,EL TABLON DE GOMEZ,0,79,10,0,476,17,20,,8,37,29,127,100,320,191,71
52260,NARIÑO,EL TAMBO,0,0,0,0,9,72,19,17,77,115,34,94,83,100,78,42
52287,NARIÑO,FUNES,0,20,0,0,0,8,0,,4,20,6,32,19,4,17,2
52317,NARIÑO,GUACHUCAL,0,0,0,0,0,5,30,,2,7,,36,3,28,32,6
52320,NARIÑO,GUAITARILLA,0,0,13,0,9,0,0,13,0,17,6,16,20,40,30,3
52323,NARIÑO,GUALMATAN,0,0,0,0,0,0,0,,0,3,,8,0,0,0,0
52352,NARIÑO,ILES,0,0,0,0,21,0,21,,59,41,19,12,15,10,3,1
52354,NARIÑO,IMUES,0,0,19,8,2,0,0,,0,25,9,4,12,3,14,2
52356,NARIÑO,IPIALES,465,770,663,266,98,577,621,124,545,1260,631,200,327,534,350,116
52378,NARIÑO,LA CRUZ,0,0,178,26,15,7,20,,15,31,29,153,57,233,153,75
52381,NARIÑO,LA FLORIDA,0,0,0,45,15,75,64,,141,122,99,93,16,70,79,23
52385,NARIÑO,LA LLANADA,0,0,109,0,22,98,86,42,176,294,93,114,185,78,167,30
52390,NARIÑO,LA TOLA,56,0,0,0,0,0,0,538,779,15,,146,49,243,326,88
52399,NARIÑO,LA UNION,0,0,14,79,74,54,56,46,164,223,143,91,376,154,219,81
52405,NARIÑO,LEIVA,200,0,0,4,559,49,29,56,145,110,120,522,137,654,793,58
52411,NARIÑO,LINARES,0,0,188,63,121,109,162,16,219,179,84,160,91,466,450,197
52418,NARIÑO,LOS ANDES,0,0,154,420,219,360,310,2111,200,133,105,221,143,274,184,82
52427,NARIÑO,MAGsI,0,0,0,0,467,50,0,413,68,,1376,506,500,505,705,96
52435,NARIÑO,MALLAMA,116,0,14,12,0,32,52,,65,162,54,80,34,156,104,20
52473,NARIÑO,MOSQUERA,0,0,28,139,90,0,5,,23,334,365,269,81,428,391,147
52480,NARIÑO,NARIÑO,0,0,0,0,12,0,15,,24,25,8,43,11,6,24,4
52490,NARIÑO,OLAYA HERRERA,50,0,0,0,16,8,13,153,475,1370,1179,2132,269,1361,1104,279
52506,NARIÑO,OSPINA,0,0,10,0,0,0,0,,0,0,,4,2,5,6,0
52520,NARIÑO,FRANCISCO PIZARRO,0,0,0,0,0,93,5,,102,90,26,291,20,586,389,659
52540,NARIÑO,POLICARPA,30,538,147,47,25,404,238,5398,364,1374,232,1356,626,1915,814,318
52560,NARIÑO,POTOSI,0,0,161,98,21,42,5,,94,12,8,23,24,5,36,0
52565,NARIÑO,PROVIDENCIA,0,0,27,26,62,33,38,,23,,6,32,26,99,75,34
52573,NARIÑO,PUERRES,23,49,34,74,1,18,44,53,79,61,96,31,15,25,6,11
52585,NARIÑO,PUPIALES,46,0,19,0,4,6,0,,14,42,21,4,17,9,21,3
52612,NARIÑO,RICAURTE,85,170,182,716,125,163,1375,2202,220,347,131,237,1049,1818,175,49
52621,NARIÑO,ROBERTO PAYAN,0,0,0,0,0,21,0,17,1102,203,123,2097,13,2005,646,109
52678,NARIÑO,SAMANIEGO,65,0,1402,903,618,318,350,59,923,1589,263,719,493,1169,987,268
52683,NARIÑO,SANDONA,0,0,30,33,5,117,185,80,151,215,260,98,155,229,155,57
52685,NARIÑO,SAN BERNARDO,0,35,15,0,0,0,14,11,17,19,16,39,49,30,31,13
52687,NARIÑO,SAN LORENZO,0,0,124,280,116,124,179,60,52,83,66,106,69,108,62,20
52693,NARIÑO,SAN PABLO,158,0,184,12,7,27,37,10,58,33,39,49,20,139,177,57
52694,NARIÑO,SAN PEDRO DE CARTAGO,0,0,0,0,0,0,49,,0,14,10,17,12,18,20,2
52696,NARIÑO,SANTA BARBARA,0,0,4250,0,0,40,101,,1068,128,927,731,259,803,392,75
52699,NARIÑO,SANTACRUZ,0,0,0,0,135,8,35,,41,205,64,184,17,401,437,93
52720,NARIÑO,SAPUYES,0,0,0,0,0,0,0,,0,0,,3,0,4,0,2
52786,NARIÑO,TAMINANGO,0,0,1212,725,109,393,518,107,681,614,510,241,523,156,195,73
52788,NARIÑO,TANGUA,0,0,15,118,10,0,9,,17,18,8,8,19,54,54,9
52835,NARIÑO,SAN ANDRES DE TUMACO,405,1658,1032,1144,1318,1645,1994,974,4178,5114,7258,13548,15296,12377,13657,5546
52838,NARIÑO,TUQUERRES,0,0,19,77,63,17,66,58,47,39,31,50,57,122,58,17
52885,NARIÑO,YACUANQUER,0,0,0,6,13,12,0,,32,26,17,14,15,11,20,7
54001,N. DE SANTANDER,CUCUTA,11000,2573,2310,14327,6827,5936,10319,4364,5120,4466,3556,891,1441,992,1929,303
54003,N. DE SANTANDER,ABREGO,480,0,10,35,18,59,158,78,168,89,39,220,27,201,225,81
54051,N. DE SANTANDER,ARBOLEDAS,0,0,60,0,24,20,0,77,8,1,11,28,3,21,23,0
54099,N. DE SANTANDER,BOCHALEMA,0,0,0,4,7,0,10,60,23,16,,0,40,1,6,0
54109,N. DE SANTANDER,BUCARASICA,0,0,0,0,0,0,0,145,12,,,18,0,33,29,7
54125,N. DE SANTANDER,CACOTA,0,0,0,0,0,0,0,,0,,,0,0,7,0,0
54128,N. DE SANTANDER,CACHIRA,85,0,0,71,14,0,39,37,0,9,,58,11,42,33,16
54172,N. DE SANTANDER,CHINACOTA,0,0,0,50,4,15,21,38,46,29,27,16,9,6,4,4
54174,N. DE SANTANDER,CHITAGA,0,0,60,0,0,5,0,,0,0,3,8,17,35,17,4
54206,N. DE SANTANDER,CONVENCION,0,0,0,12413,1445,240,484,73,89,84,50,120,18,184,288,55
54223,N. DE SANTANDER,CUCUTILLA,0,0,0,0,0,8,181,93,20,15,,14,12,21,11,5
54239,N. DE SANTANDER,DURANIA,0,0,0,0,0,0,0,17,22,3,5,8,6,5,9,7
54245,N. DE SANTANDER,EL CARMEN,750,60,220,0,11,71,361,19,49,63,34,74,18,130,143,54
54250,N. DE SANTANDER,EL TARRA,1576,1047,750,3519,1347,1365,180,112,50,258,49,260,24,1813,602,164
54261,N. DE SANTANDER,EL ZULIA,1080,370,214,111,13,44,259,221,230,203,178,61,147,141,150,26
54313,N. DE SANTANDER,GRAMALOTE,0,0,0,0,0,0,0,81,7,15,2,0,0,11,5,0
54344,N. DE SANTANDER,HACARI,186,0,0,300,180,513,45,42,30,81,15,140,22,286,544,174
54347,N. DE SANTANDER,HERRAN,0,0,170,0,139,7,0,,135,3,,8,0,1,2,0
54377,N. DE SANTANDER,LABATECA,45,0,145,0,0,7,0,,5,13,,0,16,8,12,7
54385,N. DE SANTANDER,LA ESPERANZA,260,0,0,5,0,0,57,55,107,96,20,124,20,56,93,25
54398,N. DE SANTANDER,LA PLAYA,0,0,0,0,5,10,0,,5,5,17,125,9,81,55,57
54405,N. DE SANTANDER,LOS PATIOS,0,0,50,180,74,43,92,120,120,202,129,41,189,76,58,0
54418,N. DE SANTANDER,LOURDES,0,0,0,0,183,0,0,33,8,10,,16,19,2,10,0
54480,N. DE SANTANDER,MUTISCUA,0,0,0,0,0,0,0,,0,0,,0,0,0,3,0
54498,N. DE SANTANDER,OCAÑA,930,388,53,3680,817,1404,678,586,316,1118,586,352,336,236,328,93
54518,N. DE SANTANDER,PAMPLONA,80,0,223,67,12,24,84,70,16,49,24,16,45,11,14,0
54520,N. DE SANTANDER,PAMPLONITA,0,0,0,10,0,8,0,12,0,0,,10,6,0,0,0
54553,N. DE SANTANDER,PUERTO SANTANDER,345,0,0,2,9,120,28,11,7,44,21,30,29,79,101,14
54599,N. DE SANTANDER,RAGONVALIA,0,0,0,20,0,0,26,,26,12,5,13,1,6,0,0
54660,N. DE SANTANDER,SALAZAR,0,0,0,0,0,64,20,35,18,7,6,16,3,10,13,8
54670,N. DE SANTANDER,SAN CALIXTO,0,1800,490,0,172,594,56,77,88,912,1424,175,628,274,212,377
54673,N. DE SANTANDER,SAN CAYETANO,0,0,0,0,0,14,24,,16,13,6,19,4,1,1,6
54680,N. DE SANTANDER,SANTIAGO,250,0,0,0,110,0,0,,16,0,,6,6,12,10,0
54720,N. DE SANTANDER,SARDINATA,2160,275,98,69,84,305,113,242,99,194,117,190,197,538,520,105
54743,N. DE SANTANDER,SILOS,0,0,0,0,0,0,0,,0,0,,0,0,0,6,4
54800,N. DE SANTANDER,TEORAMA,0,0,40,160,8,82,335,150,137,67,35,250,37,950,308,93
54810,N. DE SANTANDER,TIBU,1495,650,1080,1137,656,1240,320,165,100,194,103,591,168,672,854,246
